"x","y","t","zt","zt1"
282500,4070500,1996,6.27,2.294
287500,4070500,1996,9.708,5.635
292500,4070500,1996,11.824,5.371
297500,4070500,1996,13.315,3.379
302500,4070500,1996,11.077,3.929
307500,4070500,1996,13.018,6.027
312500,4070500,1996,19.054,8.009
317500,4070500,1996,17.519,10.286
322500,4070500,1996,13.69,5.172
327500,4070500,1996,25.753,8.74
332500,4070500,1996,33.727,12.228
337500,4070500,1996,21.746,6.365
342500,4070500,1996,19.619,4.599
347500,4070500,1996,18.241,5.69
352500,4070500,1996,17.691,8.035
357500,4070500,1996,17.588,6.28
362500,4070500,1996,13.689,3.868
367500,4070500,1996,25.571,2.839
372500,4070500,1996,31.959,6.055
377500,4070500,1996,21.347,2.338
247500,4075500,1996,3.752,0.903
252500,4075500,1996,5.759,1.553
257500,4075500,1996,5.997,1.947
262500,4075500,1996,5.571,1.96
267500,4075500,1996,3.009,1.577
272500,4075500,1996,0.85,0.896
277500,4075500,1996,0.744,1.148
282500,4075500,1996,6.392,2.242
287500,4075500,1996,10.108,4.057
292500,4075500,1996,12.935,5.13
297500,4075500,1996,16.035,5.263
302500,4075500,1996,17.474,7.235
307500,4075500,1996,30.048,11.104
312500,4075500,1996,29.892,18.426
317500,4075500,1996,18.375,19.008
322500,4075500,1996,16.991,9.272
327500,4075500,1996,43.803,8.546
332500,4075500,1996,41.76,16.3
337500,4075500,1996,25.824,13.428
342500,4075500,1996,36.629,13.393
347500,4075500,1996,31.287,9.401
352500,4075500,1996,22.078,10.3
357500,4075500,1996,36.238,10.465
362500,4075500,1996,31.891,8.957
367500,4075500,1996,42.906,5.579
372500,4075500,1996,57.937,8.411
377500,4075500,1996,55.302,4.342
247500,4080500,1996,3.131,0.998
252500,4080500,1996,3.519,0.441
257500,4080500,1996,4.055,1.135
262500,4080500,1996,3.051,1.458
267500,4080500,1996,1.957,0.664
272500,4080500,1996,1.448,1.616
277500,4080500,1996,6.064,1.655
282500,4080500,1996,10.174,2.486
287500,4080500,1996,10.84,3.438
292500,4080500,1996,13.6,5.751
297500,4080500,1996,19.268,8.701
302500,4080500,1996,26.258,10.502
307500,4080500,1996,40.001,14.615
312500,4080500,1996,18.734,22.838
317500,4080500,1996,19.14,22.785
322500,4080500,1996,37.747,28.252
327500,4080500,1996,63.981,20.733
332500,4080500,1996,56.629,20.705
337500,4080500,1996,51.092,24.532
342500,4080500,1996,49.072,22.351
347500,4080500,1996,42.666,16.201
352500,4080500,1996,40.842,10.99
357500,4080500,1996,23.355,8.225
362500,4080500,1996,41.49,7.365
367500,4080500,1996,62.33,11.348
372500,4080500,1996,50.439,7.051
377500,4080500,1996,63.703,6.66
252500,4085500,1996,2.044,0
257500,4085500,1996,1.992,0
262500,4085500,1996,1.681,0
267500,4085500,1996,2.866,0
272500,4085500,1996,4.864,1.682
277500,4085500,1996,8.887,2.844
282500,4085500,1996,16.199,3.625
287500,4085500,1996,13.607,3.832
292500,4085500,1996,15.447,6.312
297500,4085500,1996,34.819,12.68
302500,4085500,1996,43.77,14.296
307500,4085500,1996,31.347,15.467
312500,4085500,1996,23.624,24.068
317500,4085500,1996,22.283,24.362
322500,4085500,1996,62.952,35.294
327500,4085500,1996,85.282,31.199
332500,4085500,1996,103.149,41.345
337500,4085500,1996,73.459,44.532
342500,4085500,1996,67.632,48.234
347500,4085500,1996,67.08,27.539
352500,4085500,1996,57.721,20.861
357500,4085500,1996,41.664,20.975
362500,4085500,1996,52.627,13.809
367500,4085500,1996,61.758,14.668
372500,4085500,1996,70.638,12.335
377500,4085500,1996,78.963,12.154
272500,4090500,1996,4.934,2.216
277500,4090500,1996,6.785,1.665
282500,4090500,1996,9.446,2.659
287500,4090500,1996,10.513,2.729
292500,4090500,1996,14.609,5.349
297500,4090500,1996,20.291,8.799
302500,4090500,1996,28.892,12.215
307500,4090500,1996,29.135,14.002
312500,4090500,1996,19.015,14.094
317500,4090500,1996,19.197,22.936
322500,4090500,1996,43.169,19.11
327500,4090500,1996,77.623,20.816
332500,4090500,1996,73.661,18.912
337500,4090500,1996,51.842,50.419
342500,4090500,1996,50.397,45.123
347500,4090500,1996,73.608,39.529
352500,4090500,1996,69.885,43.991
357500,4090500,1996,70.707,29.408
362500,4090500,1996,60.824,22.629
367500,4090500,1996,58.582,22.211
372500,4090500,1996,88.697,19.214
377500,4090500,1996,114.605,21.895
272500,4095500,1996,2.911,0.462
277500,4095500,1996,4.399,1.527
282500,4095500,1996,5.458,1.509
287500,4095500,1996,5.606,1.747
292500,4095500,1996,8.644,2.098
297500,4095500,1996,12.977,3.963
302500,4095500,1996,16.471,7.806
307500,4095500,1996,12.718,8.039
312500,4095500,1996,13.71,14.045
317500,4095500,1996,13.334,19.906
322500,4095500,1996,25.518,17.913
327500,4095500,1996,52.736,24.446
332500,4095500,1996,51.845,36.583
337500,4095500,1996,34.609,36.207
342500,4095500,1996,52.161,52.709
347500,4095500,1996,68.8,58.888
352500,4095500,1996,91.377,53.722
357500,4095500,1996,69.115,37.26
362500,4095500,1996,79.975,33.774
367500,4095500,1996,93.785,32.363
372500,4095500,1996,89.035,28.876
377500,4095500,1996,155.244,24.754
272500,4100500,1996,0.562,1
277500,4100500,1996,2.498,1.177
282500,4100500,1996,2.303,0.872
287500,4100500,1996,3.843,0.794
292500,4100500,1996,5.095,1.582
297500,4100500,1996,5.946,2.355
302500,4100500,1996,7.902,4.416
307500,4100500,1996,9.754,10.22
312500,4100500,1996,9.245,10.17
317500,4100500,1996,7.856,11.592
322500,4100500,1996,17.036,15.649
327500,4100500,1996,31.822,17.705
332500,4100500,1996,41.279,23.102
337500,4100500,1996,25.224,19.988
342500,4100500,1996,45.462,29.808
347500,4100500,1996,52,37.437
352500,4100500,1996,74.049,32.106
357500,4100500,1996,84.97,39.362
362500,4100500,1996,92.152,38.933
